date,PM10_MIN,PM10_MAX,PM10_AVG
2011-05-04,29.0,101.0,59.4
2011-05-05,32.0,107.0,61.6
2011-05-06,27.0,104.0,53.5
2011-05-07,6.0,115.0,49.5
2011-05-08,23.0,113.0,65.3
2011-05-09,0.0,83.0,44.9
2011-05-10,0.0,35.0,17.1
2011-05-11,0.0,23.0,9.5
2011-05-16,28.0,151.0,77.0
2011-05-17,0.0,77.0,40.1
2011-05-18,32.0,77.0,52.0
2011-05-19,7.0,69.0,43.1
2011-05-20,0.0,42.0,12.7
2011-05-21,4.0,55.0,28.6
2011-05-22,9.0,50.0,30.1
2011-05-23,32.0,92.0,58.7
2011-05-24,54.0,136.0,79.7
2011-05-25,57.0,122.0,87.4
2011-05-26,16.0,89.0,51.4
2011-05-27,18.0,88.0,40.0
2011-05-28,36.0,77.0,56.6
2011-05-29,32.0,94.0,58.1
2011-05-30,36.0,103.0,71.4
2011-05-31,29.0,83.0,49.0
2011-06-01,0.0,104.0,46.2
2011-06-03,25.0,156.0,73.4
2011-06-04,18.0,89.0,48.7
2011-06-05,34.0,81.0,56.5
2011-06-06,30.0,82.0,46.6
2011-06-07,30.0,91.0,52.0
2011-06-08,36.0,80.0,53.2
2011-06-09,0.0,70.0,37.2
2011-06-10,35.0,104.0,60.8
2011-06-11,30.0,84.0,53.5
2011-06-12,18.0,79.0,57.3
2011-06-13,27.0,59.0,43.7
2011-06-14,24.0,77.0,47.7
2011-06-15,34.0,84.0,57.2
2011-06-16,15.0,88.0,40.7
2011-06-17,8.0,94.0,38.0
2011-06-18,23.0,99.0,56.3
2011-06-19,27.0,90.0,53.5
2011-06-20,36.0,137.0,68.9
2011-06-21,21.0,83.0,44.7
2011-06-22,0.0,61.0,32.2
2011-06-23,3.0,49.0,19.2
2011-06-24,0.0,41.0,16.3
2011-06-25,0.0,16.0,6.0
2011-06-26,0.0,109.0,7.8
2011-06-27,0.0,58.0,25.2
2011-06-28,30.0,128.0,72.2
2011-06-29,1.0,120.0,70.5
2011-06-30,0.0,111.0,44.8
2011-07-01,13.0,61.0,31.4
2011-07-02,25.0,116.0,69.1
2011-07-03,0.0,115.0,27.5
2011-07-04,2.0,88.0,41.3
2011-07-05,35.0,103.0,57.2
2011-07-06,25.0,100.0,56.3
2011-07-07,0.0,82.0,43.6
2011-07-08,0.0,52.0,25.9
2011-07-09,0.0,71.0,22.9
2011-07-10,0.0,103.0,21.2
2011-07-11,0.0,38.0,12.6
2011-07-12,0.0,37.0,12.1
2011-07-13,0.0,29.0,16.3
2011-07-14,0.0,48.0,12.6
2011-07-15,0.0,53.0,16.6
2011-07-16,0.0,66.0,17.3
2011-07-17,0.0,67.0,20.5
2011-07-18,0.0,77.0,19.3
2011-07-19,0.0,91.0,17.9
2011-07-20,0.0,71.0,19.4
2011-07-21,0.0,71.0,21.9
2011-07-22,1.0,84.0,40.8
2011-07-23,0.0,111.0,58.5
2011-07-24,0.0,117.0,52.7
2011-07-25,0.0,90.0,34.9
2011-07-26,0.0,109.0,45.0
2011-07-28,0.0,11.0,2.3
2011-07-29,0.0,94.0,35.2
2011-07-30,0.0,93.0,42.4
2011-07-31,0.0,101.0,22.5
2011-08-01,0.0,93.0,19.9
2011-08-02,0.0,49.0,13.2
2011-08-03,0.0,89.0,23.5
2011-08-04,0.0,65.0,28.9
2011-08-05,0.0,77.0,30.0
2011-08-06,0.0,48.0,21.6
2011-08-07,0.0,55.0,13.8
2011-08-08,0.0,73.0,25.0
2011-08-09,0.0,85.0,40.8
2011-08-10,0.0,93.0,34.2
2011-08-11,1.0,52.0,24.2
2011-08-12,0.0,55.0,25.6
2011-08-13,0.0,43.0,14.3
2011-08-14,5.0,98.0,46.1
2011-08-15,0.0,103.0,53.9
2011-08-16,0.0,128.0,59.3
2011-08-17,0.0,51.0,20.3
2011-08-18,0.0,72.0,17.3
2011-08-19,0.0,105.0,34.3
2011-08-20,11.0,85.0,48.5
2011-08-21,0.0,61.0,27.9
2011-08-22,0.0,88.0,34.2
2011-08-23,0.0,94.0,24.8
2011-08-24,0.0,81.0,17.0
2011-08-25,0.0,61.0,21.8
2011-08-26,0.0,54.0,15.4
2011-08-27,0.0,66.0,20.0
2011-08-28,0.0,85.0,28.1
2011-08-29,0.0,117.0,46.1
2011-08-30,0.0,86.0,36.4
2011-08-31,0.0,78.0,29.4
2011-09-01,0.0,99.0,43.5
2011-09-02,0.0,83.0,38.3
2011-09-03,0.0,68.0,17.5
2011-09-04,0.0,56.0,17.8
2011-09-05,0.0,88.0,25.6
2011-09-06,0.0,73.0,40.1
2011-09-07,0.0,103.0,35.4
2011-09-08,0.0,86.0,22.1
2011-09-09,0.0,77.0,16.3
2011-09-10,0.0,60.0,24.7
2011-09-11,0.0,59.0,10.1
2011-09-12,0.0,56.0,13.7
2011-09-13,0.0,63.0,20.4
2011-09-14,0.0,70.0,28.2
2011-09-15,0.0,62.0,28.7
2011-09-16,0.0,103.0,39.8
2011-09-17,0.0,80.0,33.1
2011-09-18,0.0,48.0,10.1
2011-09-19,0.0,59.0,15.3
2011-09-20,0.0,40.0,11.9
2011-09-21,0.0,55.0,16.7
2011-09-22,0.0,52.0,23.5
2011-09-23,26.0,99.0,50.8
2011-09-24,0.0,97.0,49.2
2011-09-25,11.0,97.0,53.4
2011-09-26,27.0,78.0,51.8
2011-09-27,0.0,80.0,37.6
2011-09-28,0.0,58.0,23.4
2011-09-29,0.0,36.0,15.1
2011-09-30,0.0,53.0,23.5
2011-10-01,0.0,44.0,20.7
2011-10-02,0.0,47.0,21.1
2011-10-03,0.0,50.0,26.1
2011-10-04,0.0,73.0,30.5
2011-10-05,0.0,129.0,41.7
2011-10-06,6.0,101.0,49.1
2011-10-07,28.0,81.0,51.8
2011-10-08,0.0,94.0,52.6
2011-10-09,0.0,116.0,52.7
2011-10-10,0.0,109.0,61.9
2011-10-11,4.0,90.0,50.0
2011-10-12,22.0,109.0,54.2
2011-10-13,0.0,110.0,57.2
2011-10-14,0.0,98.0,45.0
2011-10-15,9.0,70.0,45.0
2011-10-16,0.0,54.0,17.8
2011-10-17,0.0,70.0,28.8
2011-10-18,10.0,56.0,34.5
2011-10-19,3.0,110.0,34.1
2011-10-20,0.0,65.0,25.2
2011-10-21,0.0,50.0,21.4
2011-10-22,0.0,83.0,18.7
2011-10-23,0.0,83.0,26.3
2011-10-24,0.0,83.0,37.4
2011-10-25,0.0,45.0,19.5
2011-10-26,3.0,57.0,33.2
2011-10-27,0.0,79.0,33.3
2011-10-28,21.0,90.0,47.9
2011-10-29,8.0,83.0,41.6
2011-10-30,0.0,86.0,33.6
2011-10-31,0.0,86.0,55.2
2011-11-01,0.0,83.0,46.7
2011-11-02,0.0,85.0,54.9
2011-11-03,8.0,92.0,58.5
2011-11-04,2.0,69.0,40.6
2011-11-05,0.0,44.0,18.4
2011-11-06,0.0,45.0,9.8
2011-11-07,0.0,63.0,19.4
2011-11-08,0.0,97.0,31.4
2011-11-09,0.0,80.0,17.4
2011-11-10,0.0,40.0,18.8
2011-11-11,1.0,47.0,22.0
2011-11-12,0.0,93.0,47.8
2011-11-13,28.0,129.0,77.5
2011-11-14,0.0,109.0,33.6
2011-11-15,0.0,79.0,36.8
2011-11-16,0.0,78.0,45.5
2011-11-17,0.0,102.0,51.2
2011-11-18,6.0,96.0,34.7
2011-11-19,0.0,54.0,22.3
2011-11-20,0.0,44.0,16.3
2011-11-21,0.0,56.0,18.6
2011-11-22,9.0,63.0,31.8
2011-11-23,0.0,71.0,28.1
2011-11-24,4.0,37.0,19.0
2011-11-25,8.0,76.0,36.3
2011-11-26,0.0,84.0,48.7
2011-11-27,4.0,71.0,36.8
2011-11-28,12.0,77.0,40.8
2011-11-29,0.0,91.0,38.7
2011-11-30,0.0,28.0,6.0
2011-12-01,0.0,23.0,7.8
2011-12-02,0.0,36.0,11.7
2011-12-03,0.0,38.0,10.8
2011-12-04,0.0,75.0,28.8
2011-12-05,6.0,48.0,26.3
